DATE;DRINK;BRAND;PRICE;PLACE;UBICACION;VOLUMEN_L;ALCOHOL_L
2025-01-01;Cerveza;Voll Damm;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-01;Cerveza;Mahou;4.0;La Coquette;Madrid;0.33;0.0165
2025-01-01;Bloody Mary;;12.0;La Coquette;Madrid;0.0;0.0
2025-01-01;Roncola;;12.0;La Coquette;Madrid;0.4;0.048
2025-01-02;Cerveza;Estrella Galicia;0.0;Casa Malaga;Malaga;0.2;0.01
2025-01-10;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-01-13;Cerveza;Steinburg;0.0;Casa Beltran;Madrid;0.33;0.0165
2025-01-13;Cerveza;Steinburg;0.0;Casa Beltran;Madrid;0.33;0.0165
2025-01-13;Cerveza;Steinburg;0.0;Casa Beltran;Madrid;0.33;0.0165
2025-01-13;Cerveza;Steinburg;0.0;Casa Beltran;Madrid;0.33;0.0165
2025-01-13;Cerveza;Estrella Galicia;0.0;Casa Beltran;Madrid;0.33;0.0165
2025-01-14;Cerveza;Alhambra;3.5;La Caracola;Madrid;0.33;0.0165
2025-01-17;Cerveza;Mahou;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-18;Cerveza;Alhambra;0.6;Casa Laura;Moralzarzal;0.33;0.0165
2025-01-18;Cerveza;Estrella Galicia;0.6;Casa Laura;Moralzarzal;0.33;0.0165
2025-01-18;Cerveza;Estrella Galicia;0.6;Casa Laura;Moralzarzal;0.33;0.0165
2025-01-18;Cerveza;Mahou;0.6;Casa Laura;Moralzarzal;0.33;0.0165
2025-01-18;Mojito;;1.0;Casa Laura;Moralzarzal;0.4;0.048
2025-01-18;Mojito;;1.0;Casa Laura;Moralzarzal;0.4;0.048
2025-01-18;Mojito;;1.0;Casa Laura;Moralzarzal;0.4;0.048
2025-01-19;Cerveza;Alhambra;0.6;Casa Laura;Moralzarzal;0.33;0.0165
2025-01-22;Cerveza;Alhambra;0.0;Madrid;Madrid;0.33;0.0165
2025-01-23;Vermu;;3.0;Madrid;Madrid;0.2;0.03
2025-01-23;Cerveza;Mahou;3.2;Madrid;Madrid;0.33;0.0165
2025-01-23;Cerveza;Mahou;3.2;Madrid;Madrid;0.33;0.0165
2025-01-23;Roncola;;6.0;Madrid;Madrid;0.4;0.048
2025-01-23;Roncola;;10.0;El Cuento;Madrid;0.4;0.048
2025-01-24;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-01-24;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-01-29;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-29;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-29;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-29;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-01-29;Cerveza;Aguila;4.0;Ponzano;Madrid;0.33;0.0165
2025-01-29;Cerveza;Estrella Galicia;0.0;Casa Malaga;Malaga;0.2;0.01
2025-02-01;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-02-02;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-02-03;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-02-05;Cerveza;Mahou;3.0;Bergantiños;Madrid;0.33;0.0165
2025-02-05;Cerveza;Mahou;3.0;Bergantiños;Madrid;0.33;0.0165
2025-02-07;Cerveza;Estrella Galicia;0.0;Casa Navas;Malaga;0.33;0.0165
2025-02-14;Cerveza;Estrella Galicia;0.0;Casa Madrid;Madrid;0.3;0.015
2025-02-15;Cerveza;Mahou;4.0;Madrid;Madrid;0.33;0.0165
2025-02-15;Cerveza;Mahou;4.0;Madrid;Madrid;0.33;0.0165
2025-02-15;Cerveza;Mahou;4.0;Madrid;Madrid;0.33;0.0165
2025-02-20;Cerveza;Mahou;3.5;Madrid;Madrid;0.33;0.0165
2025-02-21;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-02-21;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-02-22;Cerveza;Mahou;0.0;Comepeces;Madrid;0.33;0.0165
2025-02-22;Cerveza;Mahou;0.0;Comepeces;Madrid;0.33;0.0165
2025-02-22;Cerveza;Mahou;0.0;Comepeces;Madrid;0.33;0.0165
2025-02-26;Cerveza;Mahou;3.2;Aura;Madrid;0.33;0.0165
2025-02-26;Cerveza;Mahou;3.2;Bel Mondo;Madrid;0.33;0.0165
2025-02-27;Vermu;;2.8;El Greco;Madrid;0.2;0.03
